MSN,YYYYMM,Value,Column_Order,Description,Unit
RETCBUS,201511,823.928,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201512,877.134,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201601,858.424,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201602,854.79,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201603,932.11,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201604,886.512,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201605,898.95,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201606,852.82,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201607,871.765,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201608,822.693,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201609,786.589,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201610,830.836,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201611,832.775,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201612,934.273,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201701,903.979,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201702,858.701,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201703,1013.642,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201704,993.181,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201705,1033.383,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201706,990.561,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201707,918.792,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201708,864.002,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201709,834.706,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201710,888.319,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201711,874.429,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201712,902.825,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201801,953.873,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201802,891.967,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201803,995.797,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201804,1001.242,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201805,1040.02,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201806,1014.54,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201807,928.27,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201808,934.249,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201809,845.102,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201810,883.518,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201811,887.305,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201812,925.094,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201901,941.352,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201902,870.879,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201903,993.965,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201904,1023.09,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201905,1059.511,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201906,996.219,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201907,975.007,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201908,934.983,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201909,883.759,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201910,922.997,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201911,910.772,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201912,947.972,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,202001,972.738,13,Total Renewable Energy Consumption,Trillion Btu
